"Product ID";"Combination ID";"Indeks produktu";"Nr ref. kombinacji";"Nazwa produktu";"Nazwa kombinacji";Dostawca;Wyświetlany;"Fizyczny stan magazynu";"Zarezerwowana ilość";"Dostępna ilość";"Niski poziom produktów w magazynie";"Wyślij do mnie wiadomość e-mail, gdy ilość jest niższa lub równa temu poziomowi"
6294;0;N/A;N/A;"Rohožka Star Wars - Yoda 60 x 40 cm";N/A;N/A;1;3;0;3;N/A;0
6295;0;N/A;N/A;"Figurka Harry Potter - svítící hrad Bradavice";N/A;N/A;1;6;0;6;N/A;0
6296;0;N/A;N/A;"Rohožka Star Wars - Welcome to the Dark Side, pryž";N/A;N/A;1;0;0;0;N/A;0
6297;0;N/A;N/A;"Pokladnička Harry Potter - Bradavice";N/A;N/A;1;5;0;5;N/A;0
6298;0;N/A;N/A;"Lampička Minecraft - Pochodeň";N/A;N/A;1;1;0;1;N/A;0
6299;0;N/A;N/A;"Rohožka Star Wars - Welcome To The Dark Side 60 x 33 cm";N/A;N/A;1;3;0;3;N/A;0
6300;0;N/A;N/A;"Vánoční balicí papír imago";N/A;N/A;1;1;0;1;N/A;0
6301;0;N/A;N/A;"Vánoční balicí papír Harry Potter - Hlavní hrdinové";N/A;N/A;1;4;0;4;N/A;0
6302;0;N/A;N/A;"Lampička Ukradené Vánoce - Jack Skellington";N/A;N/A;1;7;0;7;N/A;0
6303;0;N/A;N/A;"Lampička Minecraft - Liška";N/A;N/A;1;6;0;6;N/A;0
6304;0;N/A;N/A;"Lampička Minecraft - Creeper";N/A;N/A;1;10;0;10;N/A;0
6305;0;N/A;N/A;"Svíčka Pán prstenů - Sauronovo oko";N/A;N/A;1;0;0;0;N/A;0
6306;0;N/A;N/A;"Lampička Minecraft - Polární liška";N/A;N/A;1;8;0;8;N/A;0
6307;0;N/A;N/A;"Svíčka Friends - Central Perk";N/A;N/A;1;3;0;3;N/A;0
6308;0;N/A;N/A;"Replika Harry Potter - Čokoládová žabka";N/A;N/A;1;7;0;7;N/A;0
6309;0;N/A;N/A;"Lampička Demon Slayer - Characters";N/A;N/A;1;3;0;3;N/A;0
6310;0;N/A;N/A;"Lávová lampa Minecraft";N/A;N/A;1;5;0;5;N/A;0
6311;0;N/A;N/A;"Replika Game of Thrones - dračí vejce Rhaegal";N/A;N/A;1;7;0;7;N/A;0
6312;0;N/A;N/A;"Pokladnička Harry Potter - Zlatonka";N/A;N/A;1;5;0;5;N/A;0
6313;0;N/A;N/A;"LED lampa Wednesday - Okno";N/A;N/A;1;1;0;1;N/A;0
